round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
TWin,28150,20250,Full Buy,Full Buy,3,10,True
TWin,4050,4800,Eco,Eco,3,11,True
TargetBombed,1000,18900,Eco,Half Buy,3,12,True
TWin,25100,25200,Full Buy,Full Buy,3,13,True
CTWin,0,0,,,1,0,False
TWin,4250,4050,Eco,Eco,1,1,False
TWin,20950,10300,Full Buy,Half Buy,1,2,False
TWin,7500,23550,Force Buy,Full Buy,1,3,True
TWin,1500,22250,Eco,Full Buy,1,4,True
TWin,23250,23950,Full Buy,Full Buy,1,5,True
TWin,7200,25200,Force Buy,Full Buy,1,6,True
TWin,27100,26950,Full Buy,Full Buy,1,7,True
CTWin,8100,27350,Force Buy,Full Buy,2,7,False
CTWin,27350,28150,Full Buy,Full Buy,3,7,False
TargetSaved,28350,27050,Full Buy,Full Buy,4,7,False
BombDefused,30150,27150,Full Buy,Full Buy,7,5,True
CTWin,4300,4300,Eco,Eco,8,5,False
TWin,4300,4300,Eco,Eco,8,6,True
TWin,20700,10150,Full Buy,Half Buy,8,7,True
TWin,8550,23050,Force Buy,Full Buy,8,8,False
CTWin,1500,23250,Eco,Full Buy,9,8,False
CTWin,22550,27550,Full Buy,Full Buy,10,8,False
CTWin,27250,25850,Full Buy,Full Buy,11,8,False
TWin,28750,1500,Full Buy,Eco,11,9,True
CTWin,29850,23700,Full Buy,Full Buy,12,9,False
TWin,26600,27250,Full Buy,Full Buy,12,10,True
CTWin,26650,20200,Full Buy,Full Buy,13,10,False
CTWin,0,0,,,1,0,False
CTWin,4000,4750,Eco,Eco,2,0,False
CTWin,19950,1000,Half Buy,Eco,3,0,False
TWin,23050,23200,Full Buy,Full Buy,3,1,True
TargetBombed,29950,8250,Full Buy,Force Buy,3,2,True
TWin,14350,25900,Half Buy,Full Buy,3,3,False
TWin,5150,25900,Force Buy,Full Buy,3,4,True
TWin,23900,25900,Full Buy,Full Buy,3,5,True
CTWin,6700,25900,Force Buy,Full Buy,4,5,False
TargetSaved,26850,26200,Full Buy,Full Buy,5,5,False
CTWin,29550,25400,Full Buy,Full Buy,6,5,False
CTWin,30050,25400,Full Buy,Full Buy,5,7,False
TargetBombed,16600,31050,Half Buy,Full Buy,5,8,True
TargetBombed,4000,4300,Eco,Eco,5,9,True
TWin,12600,19200,Half Buy,Half Buy,5,10,True
TargetBombed,10050,22150,Half Buy,Full Buy,5,11,True
TWin,25950,24400,Full Buy,Full Buy,5,12,True
TargetBombed,25150,24400,Full Buy,Full Buy,5,13,True
TWin,0,0,,,0,1,True
TWin,4700,4350,Eco,Eco,0,2,True
TargetBombed,1000,19950,Eco,Half Buy,0,3,True
CTWin,23150,21950,Full Buy,Full Buy,1,3,False
BombDefused,16450,27850,Half Buy,Full Buy,2,3,True
CTWin,30250,23450,Full Buy,Full Buy,3,3,False
CTWin,30350,3450,Full Buy,Eco,4,3,False
,32400,23950,Full Buy,Full Buy,0,0,False
TWin,0,0,,,0,1,False
TWin,4200,4650,Eco,Eco,0,2,True
TWin,11500,17600,Half Buy,Half Buy,0,3,False
TWin,2500,21850,Eco,Full Buy,0,4,True
TargetBombed,27050,23550,Full Buy,Full Buy,0,5,True
BombDefused,9850,25400,Force Buy,Full Buy,1,5,True
TargetSaved,27950,25100,Full Buy,Full Buy,2,5,False
TargetSaved,29400,27250,Full Buy,Full Buy,3,5,False
BombDefused,29150,21550,Full Buy,Full Buy,4,5,True
CTWin,30300,16150,Full Buy,Half Buy,5,5,False
TWin,29650,10500,Full Buy,Half Buy,5,6,True
CTWin,30600,25400,Full Buy,Full Buy,6,6,False
CTWin,24150,30800,Full Buy,Full Buy,7,6,False
CTWin,4850,4350,Eco,Eco,8,6,False
TargetBombed,19400,1200,Half Buy,Eco,8,7,True
TargetBombed,21300,22800,Full Buy,Full Buy,8,8,True
CTWin,24950,25400,Full Buy,Full Buy,9,8,False
TargetBombed,8600,25400,Force Buy,Full Buy,9,9,True
CTWin,22050,20400,Full Buy,Full Buy,10,9,False
TargetBombed,21850,24200,Full Buy,Full Buy,10,10,True
BombDefused,26050,19450,Full Buy,Half Buy,11,10,True
TWin,23550,25600,Full Buy,Full Buy,11,11,True
TWin,27400,20250,Full Buy,Full Buy,11,12,False
CTWin,9550,25400,Force Buy,Full Buy,12,12,False
CTWin,9850,25700,Force Buy,Full Buy,13,12,False
TWin,28800,25500,Full Buy,Full Buy,13,13,True
TWin,30350,25400,Full Buy,Full Buy,14,13,True
CTWin,25600,31850,Full Buy,Full Buy,15,13,False
TargetBombed,29100,27750,Full Buy,Full Buy,15,14,True
CTWin,30450,27750,Full Buy,Full Buy,16,14,False
TWin,0,0,,,0,1,False
CTWin,4200,5050,Eco,Force Buy,1,1,False
CTWin,11700,19300,Half Buy,Half Buy,2,1,False
CTWin,25200,6900,Full Buy,Force Buy,3,1,False
BombDefused,26800,1000,Full Buy,Eco,4,1,True
TWin,30000,24600,Full Buy,Full Buy,4,2,False
CTWin,29950,9000,Full Buy,Force Buy,5,2,False
CTWin,20650,27350,Full Buy,Full Buy,6,2,False
TargetBombed,26600,7800,Full Buy,Force Buy,6,3,True
CTWin,28800,26100,Full Buy,Full Buy,7,3,False
TWin,14550,27350,Half Buy,Full Buy,7,4,False
CTWin,26000,21500,Full Buy,Full Buy,4,8,False
CTWin,24350,9200,Full Buy,Force Buy,5,8,False
CTWin,4200,4450,Eco,Eco,6,8,False
BombDefused,20000,10750,Full Buy,Half Buy,7,8,True
BombDefused,23500,1000,Full Buy,Eco,8,8,True
BombDefused,28550,26350,Full Buy,Full Buy,9,8,True
CTWin,30300,25850,Full Buy,Full Buy,10,8,False
CTWin,30100,21900,Full Buy,Full Buy,11,8,False
CTWin,30150,20450,Full Buy,Full Buy,12,8,False
CTWin,30100,10300,Full Buy,Half Buy,13,8,False
BombDefused,0,0,,,1,0,True
BombDefused,4000,4750,Eco,Eco,2,0,True
BombDefused,19850,15200,Half Buy,Half Buy,3,0,True
CTWin,27200,18450,Full Buy,Half Buy,4,0,False
CTWin,26550,20200,Full Buy,Full Buy,5,0,False
TargetBombed,29850,10200,Full Buy,Half Buy,5,1,True
TargetSaved,30550,25350,Full Buy,Full Buy,6,1,False
TargetSaved,28800,27450,Full Buy,Full Buy,7,1,False
BombDefused,28300,25750,Full Buy,Full Buy,8,1,True
CTWin,29700,23550,Full Buy,Full Buy,9,1,False
BombDefused,30150,22000,Full Buy,Full Buy,10,1,True
CTWin,30850,11950,Full Buy,Half Buy,1,11,False
TWin,27250,31450,Full Buy,Full Buy,1,12,True
CTWin,4000,4350,Eco,Eco,2,12,False
CTWin,10300,19900,Half Buy,Half Buy,3,12,False
CTWin,21950,8500,Full Buy,Force Buy,4,12,False
TWin,24800,1100,Full Buy,Eco,4,13,False
BombDefused,0,0,,,1,0,True
BombDefused,4250,4200,Eco,Eco,2,0,True
TWin,21100,14350,Full Buy,Half Buy,2,1,True
TWin,27800,7950,Full Buy,Force Buy,2,2,True
TWin,21500,26900,Full Buy,Full Buy,2,3,True
TargetBombed,3000,25300,Eco,Full Buy,2,4,True
CTWin,24550,25300,Full Buy,Full Buy,3,4,False
TargetSaved,25750,25200,Full Buy,Full Buy,4,4,False
BombDefused,26600,21300,Full Buy,Full Buy,5,4,True
CTWin,28850,14200,Full Buy,Half Buy,6,4,False
CTWin,30550,5300,Full Buy,Force Buy,7,4,False
TWin,30650,24900,Full Buy,Full Buy,5,7,True
TWin,21300,31250,Full Buy,Full Buy,5,8,True
TargetBombed,4000,5950,Eco,Force Buy,5,9,True
CTWin,10500,20050,Half Buy,Full Buy,6,9,False
CTWin,10200,22450,Half Buy,Full Buy,7,9,False
CTWin,27700,13650,Full Buy,Half Buy,8,9,False
TargetSaved,28100,1600,Full Buy,Eco,9,9,False
BombDefused,28150,22400,Full Buy,Full Buy,10,9,True
CTWin,29850,11500,Full Buy,Half Buy,11,9,False
CTWin,30550,25850,Full Buy,Full Buy,12,9,False
CTWin,30650,11550,Full Buy,Half Buy,13,9,False
TWin,0,0,,,0,1,True
TargetBombed,4400,5050,Eco,Force Buy,0,2,True
TWin,10800,19300,Half Buy,Half Buy,0,3,False
TargetBombed,6400,21750,Force Buy,Full Buy,0,4,True
TWin,28200,22850,Full Buy,Full Buy,0,5,True
TargetBombed,29650,25400,Full Buy,Full Buy,0,6,True
CTWin,25150,25700,Full Buy,Full Buy,1,6,False
CTWin,22500,25500,Full Buy,Full Buy,2,6,False
CTWin,26550,27150,Full Buy,Full Buy,3,6,False
TWin,29350,25100,Full Buy,Full Buy,3,7,True
BombDefused,29650,18200,Full Buy,Half Buy,4,7,True
CTWin,10950,25450,Half Buy,Full Buy,7,5,False
CTWin,20050,29350,Full Buy,Full Buy,8,5,False
BombDefused,4000,4350,Eco,Eco,9,5,True
CTWin,19350,1000,Half Buy,Eco,10,5,False
CTWin,25850,27050,Full Buy,Full Buy,11,5,False
TargetBombed,26250,11100,Full Buy,Half Buy,11,6,True
TWin,28200,23600,Full Buy,Full Buy,11,7,True
TWin,29950,25300,Full Buy,Full Buy,11,8,False
CTWin,10700,27350,Half Buy,Full Buy,12,8,False
CTWin,24100,27250,Full Buy,Full Buy,13,8,False
TWin,0,0,,,0,1,True
TargetBombed,4050,4500,Eco,Eco,0,2,True
TargetBombed,10750,19700,Half Buy,Half Buy,0,3,True
TargetBombed,5950,22050,Force Buy,Full Buy,0,4,True
TargetBombed,25800,24500,Full Buy,Full Buy,0,5,True
CTWin,29250,25600,Full Buy,Full Buy,1,5,False
CTWin,28950,25600,Full Buy,Full Buy,2,5,False
CTWin,29550,25300,Full Buy,Full Buy,3,5,False
CTWin,29050,18300,Full Buy,Half Buy,4,5,False
CTWin,30350,9400,Full Buy,Force Buy,5,5,False
CTWin,31050,21400,Full Buy,Full Buy,6,5,False
TWin,30750,13950,Full Buy,Half Buy,6,6,True
TargetBombed,23150,31750,Full Buy,Full Buy,6,7,True
TargetBombed,4100,4400,Eco,Eco,6,8,True
TargetBombed,11450,16850,Half Buy,Half Buy,6,9,True
CTWin,2300,23950,Eco,Full Buy,7,9,False
BombDefused,29050,26950,Full Buy,Full Buy,8,9,True
BombDefused,29550,7650,Full Buy,Force Buy,9,9,True
TWin,30250,3300,Full Buy,Eco,9,10,True
TargetBombed,30700,24900,Full Buy,Full Buy,9,11,True
TargetBombed,25300,25500,Full Buy,Full Buy,9,12,True
TWin,6250,27650,Force Buy,Full Buy,9,13,True
CTWin,0,0,,,1,0,False
CTWin,4600,4600,Eco,Eco,2,0,False
TWin,20600,1000,Full Buy,Eco,2,1,True
TWin,23050,24200,Full Buy,Full Buy,2,2,True
TWin,11900,23750,Half Buy,Full Buy,2,3,True
CTWin,2000,25000,Eco,Full Buy,3,3,False
BombDefused,23600,28150,Full Buy,Full Buy,4,3,True
CTWin,28300,25650,Full Buy,Full Buy,5,3,False
TWin,30250,6850,Full Buy,Force Buy,5,4,False
CTWin,30850,21500,Full Buy,Full Buy,6,4,False
CTWin,26450,22900,Full Buy,Full Buy,7,4,False
CTWin,29000,4850,Full Buy,Eco,4,8,False
TWin,20750,30950,Full Buy,Full Buy,4,9,True
TWin,4500,4350,Eco,Eco,4,10,False
TWin,10850,19500,Half Buy,Half Buy,4,11,True
CTWin,2300,22000,Eco,Full Buy,5,11,False
BombDefused,27700,27250,Full Buy,Full Buy,6,11,True
CTWin,27050,20500,Full Buy,Full Buy,7,11,False
TWin,27100,3650,Full Buy,Eco,7,12,True
TWin,30150,24150,Full Buy,Full Buy,7,13,True
CTWin,0,0,,,1,0,False
BombDefused,4200,4250,Eco,Eco,2,0,True
CTWin,19650,8350,Half Buy,Force Buy,3,0,False
BombDefused,27500,18450,Full Buy,Half Buy,4,0,True
TWin,26400,15650,Full Buy,Half Buy,4,1,True
TWin,30850,23300,Full Buy,Full Buy,4,2,False
TWin,2650,23700,Eco,Full Buy,4,3,True
TargetBombed,25200,26850,Full Buy,Full Buy,4,4,True
TargetBombed,2900,28050,Eco,Full Buy,4,5,True
BombDefused,27850,27450,Full Buy,Full Buy,5,5,True
TWin,29550,27350,Full Buy,Full Buy,5,6,False
TargetBombed,29950,27250,Full Buy,Full Buy,7,5,True
CTWin,28150,23900,Full Buy,Full Buy,8,5,False
CTWin,4300,5000,Eco,Force Buy,9,5,False
BombDefused,20700,1000,Full Buy,Eco,10,5,True
TWin,26900,22600,Full Buy,Full Buy,10,6,True
TargetBombed,29650,20800,Full Buy,Full Buy,10,7,True
TargetBombed,21700,21900,Full Buy,Full Buy,10,8,True
BombDefused,12000,26650,Half Buy,Full Buy,11,8,True
TargetSaved,26450,27850,Full Buy,Full Buy,12,8,False
TWin,26750,25400,Full Buy,Full Buy,12,9,True
TargetSaved,28500,17700,Full Buy,Half Buy,13,9,False
BombDefused,0,0,,,1,0,True
CTWin,4650,4250,Eco,Eco,2,0,False
CTWin,20550,15700,Full Buy,Half Buy,3,0,False
TWin,22050,3000,Full Buy,Eco,3,1,True
CTWin,26250,25200,Full Buy,Full Buy,4,1,False
CTWin,24900,25400,Full Buy,Full Buy,5,1,False
BombDefused,28250,21300,Full Buy,Full Buy,6,1,True
CTWin,30050,6600,Full Buy,Force Buy,7,1,False
BombDefused,31250,25600,Full Buy,Full Buy,8,1,True
CTWin,31250,23500,Full Buy,Full Buy,9,1,False
TWin,30750,24950,Full Buy,Full Buy,9,2,True
CTWin,30550,22200,Full Buy,Full Buy,2,10,False
CTWin,22300,26950,Full Buy,Full Buy,3,10,False
CTWin,4100,4400,Eco,Eco,4,10,False
TargetBombed,21250,1150,Full Buy,Eco,4,11,True
TWin,22950,23200,Full Buy,Full Buy,4,12,False
TWin,26850,25100,Full Buy,Full Buy,4,13,True
BombDefused,0,0,,,1,0,True
TWin,4200,4350,Eco,Eco,1,1,True
TargetBombed,21450,14150,Full Buy,Half Buy,1,2,True
TWin,7800,25050,Force Buy,Full Buy,1,3,True
BombDefused,1000,24750,Eco,Full Buy,2,3,True
TWin,23500,27950,Full Buy,Full Buy,2,4,True
TWin,28100,27250,Full Buy,Full Buy,2,5,False
TargetBombed,2500,27350,Eco,Full Buy,2,6,True
TargetSaved,23600,27950,Full Buy,Full Buy,3,6,False
TWin,13750,27850,Half Buy,Full Buy,3,7,False
TargetBombed,28500,27350,Full Buy,Full Buy,3,8,True
CTWin,22150,25000,Full Buy,Full Buy,8,4,False
CTWin,25300,22000,Full Buy,Full Buy,9,4,False
CTWin,4250,5050,Eco,Force Buy,10,4,False
TargetBombed,21350,2050,Full Buy,Eco,10,5,True
TWin,23550,22700,Full Buy,Full Buy,10,6,True
TWin,25900,24800,Full Buy,Full Buy,10,7,False
CTWin,1000,25400,Eco,Full Buy,11,7,False
TWin,25400,25300,Full Buy,Full Buy,11,8,False
TargetBombed,28800,22500,Full Buy,Full Buy,11,9,True
TargetBombed,3250,25300,Eco,Full Buy,11,10,True
CTWin,27300,25300,Full Buy,Full Buy,12,10,False
BombDefused,26000,25400,Full Buy,Full Buy,13,10,True
CTWin,0,0,,,1,0,False
CTWin,4000,4250,Eco,Eco,2,0,False
CTWin,20500,10800,Full Buy,Half Buy,3,0,False
TargetBombed,24500,25400,Full Buy,Full Buy,3,1,True
CTWin,23800,25400,Full Buy,Full Buy,4,1,False
TWin,25050,25400,Full Buy,Full Buy,4,2,False
TWin,27300,25200,Full Buy,Full Buy,4,3,True
TWin,10650,25500,Half Buy,Full Buy,4,4,False
TWin,1000,23750,Eco,Full Buy,4,5,True
TargetBombed,24400,25200,Full Buy,Full Buy,4,6,True
TargetBombed,7250,25400,Force Buy,Full Buy,4,7,True
TWin,25400,25300,Full Buy,Full Buy,8,4,True
BombDefused,26200,24150,Full Buy,Full Buy,9,4,True
TargetBombed,4500,4500,Eco,Eco,9,5,True
TWin,21050,15050,Full Buy,Half Buy,9,6,False
TWin,13550,22150,Half Buy,Full Buy,9,7,False
TargetSaved,1200,23850,Eco,Full Buy,10,7,False
CTWin,23250,27750,Full Buy,Full Buy,11,7,False
TWin,27650,27450,Full Buy,Full Buy,11,8,True
CTWin,28400,23700,Full Buy,Full Buy,12,8,False
TWin,28100,22250,Full Buy,Full Buy,12,9,False
TargetBombed,29450,9800,Full Buy,Force Buy,12,10,True
CTWin,1000,25750,Eco,Full Buy,13,10,False
CTWin,0,0,,,1,0,False
CTWin,4100,4500,Eco,Eco,2,0,False
TWin,17500,1000,Half Buy,Eco,2,1,True
CTWin,24150,24100,Full Buy,Full Buy,3,1,False
CTWin,20800,22100,Full Buy,Full Buy,4,1,False
TargetBombed,29550,1400,Full Buy,Eco,4,2,True
TargetSaved,29650,23000,Full Buy,Full Buy,5,2,False
TargetBombed,30250,25300,Full Buy,Full Buy,5,3,True
TargetBombed,29950,24400,Full Buy,Full Buy,5,4,True
TargetSaved,29650,25400,Full Buy,Full Buy,6,4,False
BombDefused,27300,7900,Full Buy,Force Buy,7,4,True
TWin,27700,13250,Full Buy,Half Buy,5,7,False
CTWin,25700,30350,Full Buy,Full Buy,6,7,False
CTWin,5300,4400,Force Buy,Eco,7,7,False
TWin,20650,1500,Full Buy,Eco,7,8,True
TargetBombed,24100,22700,Full Buy,Full Buy,7,9,True
TargetBombed,11900,23600,Half Buy,Full Buy,7,10,True
TargetBombed,2900,25700,Eco,Full Buy,7,11,True
CTWin,22950,25400,Full Buy,Full Buy,8,11,False
TargetBombed,23550,27550,Full Buy,Full Buy,8,12,True
TargetBombed,27950,25200,Full Buy,Full Buy,8,13,True
BombDefused,0,0,,,1,0,True
CTWin,4000,4350,Eco,Eco,2,0,False
TWin,23450,1400,Full Buy,Eco,2,1,True
TargetSaved,27150,25200,Full Buy,Full Buy,3,1,False
CTWin,20400,23450,Full Buy,Full Buy,4,1,False
CTWin,25300,5850,Full Buy,Force Buy,5,1,False
CTWin,28800,21300,Full Buy,Full Buy,6,1,False
TWin,29750,7400,Full Buy,Force Buy,6,2,False
BombDefused,30750,26350,Full Buy,Full Buy,7,2,True
CTWin,29300,25250,Full Buy,Full Buy,8,2,False
BombDefused,30100,23200,Full Buy,Full Buy,9,2,True
BombDefused,30500,10150,Full Buy,Half Buy,2,10,True
BombDefused,26850,31800,Full Buy,Full Buy,3,10,True
CTWin,4600,4350,Eco,Eco,4,10,False
CTWin,22000,14850,Full Buy,Half Buy,5,10,False
TargetBombed,25350,2500,Full Buy,Eco,5,11,True
TWin,30400,24950,Full Buy,Full Buy,5,12,True
TWin,28850,20500,Full Buy,Full Buy,5,13,True
TargetBombed,0,0,,,0,1,True
TargetBombed,4700,4400,Eco,Eco,0,2,True
TargetSaved,1750,19950,Eco,Half Buy,1,2,False
CTWin,25550,22400,Full Buy,Full Buy,2,2,False
CTWin,26400,15600,Full Buy,Half Buy,3,2,False
CTWin,26700,1000,Full Buy,Eco,4,2,False
CTWin,29450,23800,Full Buy,Full Buy,5,2,False
CTWin,29950,6050,Full Buy,Force Buy,6,2,False
CTWin,30250,25000,Full Buy,Full Buy,7,2,False
TargetSaved,30150,9750,Full Buy,Force Buy,8,2,False
TWin,30250,24700,Full Buy,Full Buy,8,3,True
CTWin,32150,20000,Full Buy,Full Buy,3,9,False
CTWin,22650,32350,Full Buy,Full Buy,4,9,False
CTWin,4250,4450,Eco,Eco,5,9,False
CTWin,21500,1100,Full Buy,Eco,6,9,False
CTWin,25000,22600,Full Buy,Full Buy,7,9,False
TargetBombed,30550,8000,Full Buy,Force Buy,7,10,True
TWin,29950,25200,Full Buy,Full Buy,7,11,True
TWin,29300,25300,Full Buy,Full Buy,7,12,True
TWin,20600,25600,Full Buy,Full Buy,7,13,False
TargetBombed,0,0,,,0,1,True
TWin,4300,4350,Eco,Eco,0,2,True
TargetBombed,11700,19400,Half Buy,Half Buy,0,3,True
TargetSaved,3650,21950,Eco,Full Buy,1,3,False
CTWin,27700,25400,Full Buy,Full Buy,2,3,False
CTWin,29750,17400,Full Buy,Half Buy,3,3,False
TargetBombed,29450,1000,Full Buy,Eco,3,4,True
TargetBombed,29950,23600,Full Buy,Full Buy,3,5,True
TWin,30450,25400,Full Buy,Full Buy,3,6,True
BombDefused,26100,25400,Full Buy,Full Buy,4,6,True
TargetSaved,2300,25400,Eco,Full Buy,5,6,False
TWin,28700,22750,Full Buy,Full Buy,7,5,True
CTWin,16600,31950,Half Buy,Full Buy,8,5,False
CTWin,4500,4300,Eco,Eco,9,5,False
BombDefused,22050,1000,Full Buy,Eco,10,5,True
CTWin,26650,22600,Full Buy,Full Buy,11,5,False
TWin,28500,10050,Full Buy,Half Buy,11,6,True
TargetBombed,29000,25900,Full Buy,Full Buy,11,7,True
CTWin,27600,25450,Full Buy,Full Buy,12,7,False
CTWin,26800,27450,Full Buy,Full Buy,13,7,False
BombDefused,0,0,,,1,0,True
TargetSaved,4650,5150,Eco,Force Buy,2,0,False
CTWin,21150,13150,Full Buy,Half Buy,3,0,False
TWin,23650,5200,Full Buy,Force Buy,3,1,True
CTWin,29050,25600,Full Buy,Full Buy,4,1,False
TWin,24550,26050,Full Buy,Full Buy,4,2,True
CTWin,27800,2850,Full Buy,Eco,5,2,False
TWin,19950,28250,Half Buy,Full Buy,5,3,True
TargetBombed,29650,25850,Full Buy,Full Buy,5,4,True
BombDefused,1000,24200,Eco,Full Buy,6,4,True
CTWin,23600,25400,Full Buy,Full Buy,7,4,False
CTWin,28400,17100,Full Buy,Half Buy,4,8,False
BombDefused,13350,28600,Half Buy,Full Buy,5,8,True
TWin,4100,4300,Eco,Eco,5,9,True
TargetBombed,20850,14500,Full Buy,Half Buy,5,10,True
TargetBombed,8600,25600,Force Buy,Full Buy,5,11,True
TargetBombed,6350,25500,Force Buy,Full Buy,5,12,True
TWin,24800,26300,Full Buy,Full Buy,5,13,False
TWin,0,0,,,0,1,True
TWin,4000,4250,Eco,Eco,0,2,True
TWin,10450,20500,Half Buy,Full Buy,0,3,True
TargetBombed,1600,23950,Eco,Full Buy,0,4,True
TWin,27250,25900,Full Buy,Full Buy,0,5,True
BombDefused,27650,25700,Full Buy,Full Buy,1,5,True
BombDefused,10450,25600,Half Buy,Full Buy,2,5,True
TWin,28450,25500,Full Buy,Full Buy,2,6,False
TargetSaved,29100,25400,Full Buy,Full Buy,3,6,False
BombDefused,23000,25500,Full Buy,Full Buy,4,6,True
TWin,21950,25100,Full Buy,Full Buy,4,7,True
TWin,28850,16500,Full Buy,Half Buy,8,4,False
CTWin,26400,11250,Full Buy,Half Buy,9,4,False
CTWin,4200,4300,Eco,Eco,10,4,False
TWin,20950,1000,Full Buy,Eco,10,5,False
TargetBombed,23350,23200,Full Buy,Full Buy,10,6,True
CTWin,24150,23800,Full Buy,Full Buy,11,6,False
CTWin,24550,24400,Full Buy,Full Buy,12,6,False
CTWin,28400,20650,Full Buy,Full Buy,13,6,False
TWin,0,0,,,0,1,True
TWin,4300,4450,Eco,Eco,0,2,False
CTWin,1300,19500,Eco,Half Buy,1,2,False
CTWin,22500,20400,Full Buy,Full Buy,2,2,False
CTWin,26650,17600,Full Buy,Half Buy,3,2,False
CTWin,26400,11250,Full Buy,Half Buy,4,2,False
TWin,27300,2350,Full Buy,Eco,4,3,True
TWin,28850,25950,Full Buy,Full Buy,4,4,True
TWin,12200,24100,Half Buy,Full Buy,4,5,False
TargetSaved,1000,26100,Eco,Full Buy,5,5,False
TargetBombed,24300,27550,Full Buy,Full Buy,5,6,True
TWin,28150,25300,Full Buy,Full Buy,7,5,False
BombDefused,28050,22500,Full Buy,Full Buy,8,5,True
CTWin,4200,4300,Eco,Eco,9,5,False
BombDefused,20950,2300,Full Buy,Eco,10,5,True
BombDefused,24200,23150,Full Buy,Full Buy,11,5,True
TWin,29250,16500,Full Buy,Half Buy,11,6,True
TargetBombed,29450,24300,Full Buy,Full Buy,11,7,True
TargetBombed,1600,26000,Eco,Full Buy,11,8,True
TWin,24100,26350,Full Buy,Full Buy,11,9,True
CTWin,16350,27450,Half Buy,Full Buy,12,9,False
CTWin,22100,27450,Full Buy,Full Buy,13,9,False
TargetBombed,0,0,,,0,1,True
TargetBombed,4200,4250,Eco,Eco,0,2,True
TargetSaved,12150,20250,Half Buy,Full Buy,1,2,False
CTWin,9750,23500,Force Buy,Full Buy,2,2,False
CTWin,26600,17000,Full Buy,Half Buy,3,2,False
CTWin,29650,1800,Full Buy,Eco,4,2,False
CTWin,29950,22900,Full Buy,Full Buy,5,2,False
CTWin,26350,7100,Full Buy,Force Buy,6,2,False
BombDefused,30650,25000,Full Buy,Full Buy,7,2,True
CTWin,32400,10600,Full Buy,Half Buy,8,2,False
BombDefused,32100,26350,Full Buy,Full Buy,9,2,True
CTWin,33100,21400,Full Buy,Full Buy,2,10,False
TWin,22100,32600,Full Buy,Full Buy,2,11,True
TargetBombed,4600,4250,Eco,Eco,2,12,True
TWin,10450,19850,Half Buy,Half Buy,2,13,True
CTWin,4200,3900,Eco,Eco,1,0,False
TargetBombed,4200,4350,Eco,Eco,1,1,True
CTWin,16750,9850,Half Buy,Force Buy,2,1,False
TargetBombed,18600,22300,Half Buy,Full Buy,2,2,True
TWin,27400,12850,Full Buy,Half Buy,2,3,False
CTWin,20950,24150,Full Buy,Full Buy,3,3,False
CTWin,1500,28250,Eco,Full Buy,4,3,False
CTWin,27600,22550,Full Buy,Full Buy,5,3,False
TWin,24950,1000,Full Buy,Eco,5,4,False
CTWin,29050,23100,Full Buy,Full Buy,6,4,False
CTWin,22300,21050,Full Buy,Full Buy,7,4,False
TWin,24750,6000,Full Buy,Force Buy,5,7,True
TWin,21850,30550,Full Buy,Full Buy,5,8,False
TWin,4000,2900,Eco,Eco,5,9,False
TWin,11100,19750,Half Buy,Half Buy,5,10,False
CTWin,1300,21350,Eco,Full Buy,6,10,False
TargetBombed,28250,24700,Full Buy,Full Buy,6,11,True
TWin,29600,23100,Full Buy,Full Buy,6,12,True
TWin,29800,25300,Full Buy,Full Buy,6,13,True
BombDefused,0,0,,,1,0,True
BombDefused,4200,4300,Eco,Eco,2,0,True
CTWin,20200,11400,Full Buy,Half Buy,3,0,False
TWin,25650,6150,Full Buy,Force Buy,3,1,False
TWin,25650,9900,Full Buy,Force Buy,3,2,False
TWin,15200,25200,Half Buy,Full Buy,3,3,False
CTWin,1200,22850,Eco,Full Buy,4,3,False
TWin,23350,25300,Full Buy,Full Buy,4,4,True
TWin,26650,24700,Full Buy,Full Buy,4,5,True
TargetBombed,7600,22000,Force Buy,Full Buy,4,6,True
TWin,24900,25800,Full Buy,Full Buy,4,7,True
TWin,7900,25400,Force Buy,Full Buy,8,4,False
CTWin,26000,26300,Full Buy,Full Buy,9,4,False
BombDefused,4000,4750,Eco,Eco,10,4,True
BombDefused,21050,9600,Full Buy,Force Buy,11,4,True
CTWin,26450,17900,Full Buy,Half Buy,12,4,False
BombDefused,27850,12550,Full Buy,Half Buy,13,4,True
TWin,0,0,,,0,1,True
CTWin,4250,21400,Eco,Full Buy,1,1,False
CTWin,10350,19800,Half Buy,Half Buy,2,1,False
CTWin,24050,7500,Full Buy,Force Buy,3,1,False
TargetBombed,23450,1000,Full Buy,Eco,3,2,True
TargetBombed,28450,23200,Full Buy,Full Buy,3,3,True
TargetBombed,30650,24300,Full Buy,Full Buy,3,4,True
TargetBombed,26050,22300,Full Buy,Full Buy,3,5,True
TargetBombed,8500,25600,Force Buy,Full Buy,3,6,True
TargetSaved,28100,25500,Full Buy,Full Buy,4,6,False
CTWin,25550,27350,Full Buy,Full Buy,5,6,False
BombDefused,29350,27350,Full Buy,Full Buy,6,6,True
TWin,23300,31150,Full Buy,Full Buy,6,7,True
TargetBombed,4200,4400,Eco,Eco,6,8,True
TWin,11100,19500,Half Buy,Half Buy,6,9,True
BombDefused,8250,22450,Force Buy,Full Buy,7,9,True
BombDefused,27200,27550,Full Buy,Full Buy,8,9,True
