round_end_reason,ct_equip_val,t_equip_val,type_buy_ct,type_buy_t,score_ct,score_t,bomb_plant
TWin,30950,26550,Full Buy,Full Buy,12,7,True
CTWin,31450,17250,Full Buy,Half Buy,13,7,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
BombDefused,1000,1000,Eco,Eco,1,0,True
BombDefused,4750,4250,Eco,Eco,2,0,True
CTWin,18500,13350,Half Buy,Half Buy,3,0,False
TWin,26250,8550,Full Buy,Force Buy,3,1,True
CTWin,30850,22700,Full Buy,Full Buy,4,1,False
CTWin,18850,20050,Half Buy,Full Buy,5,1,False
CTWin,25900,6850,Full Buy,Force Buy,6,1,False
TWin,29600,23400,Full Buy,Full Buy,6,2,True
CTWin,29100,9700,Full Buy,Force Buy,7,2,False
TWin,19600,28150,Half Buy,Full Buy,7,3,False
TargetBombed,28000,23600,Full Buy,Full Buy,7,4,True
TWin,7000,24700,Force Buy,Full Buy,5,7,True
BombDefused,27550,15600,Full Buy,Half Buy,6,7,True
CTWin,4250,5000,Eco,Force Buy,7,7,False
TWin,21050,6500,Full Buy,Force Buy,7,8,True
TargetBombed,28300,20100,Full Buy,Full Buy,7,9,True
TWin,12350,25900,Half Buy,Full Buy,7,10,True
TWin,9650,27750,Force Buy,Full Buy,7,11,False
TargetBombed,22350,28250,Full Buy,Full Buy,7,12,True
TWin,6400,27450,Force Buy,Full Buy,7,13,True
TWin,0,0,Eco,Eco,0,0,False
,0,0,,,0,0,False
CTWin,3250,3250,Eco,Eco,1,0,False
TWin,4000,4300,Eco,Eco,1,1,True
TWin,17500,10200,Half Buy,Half Buy,1,2,True
TWin,10300,25400,Half Buy,Full Buy,1,3,True
TWin,1200,23650,Eco,Full Buy,1,4,True
BombDefused,23450,25400,Full Buy,Full Buy,2,4,True
TWin,6100,25500,Force Buy,Full Buy,2,5,True
TargetBombed,28500,20100,Full Buy,Full Buy,2,6,True
CTWin,8500,22900,Force Buy,Full Buy,3,6,False
BombDefused,27700,24300,Full Buy,Full Buy,4,6,True
CTWin,29450,12300,Full Buy,Half Buy,5,6,False
TWin,30250,11250,Full Buy,Half Buy,7,5,False
CTWin,13600,31950,Half Buy,Full Buy,8,5,False
CTWin,3550,4300,Eco,Eco,9,5,False
CTWin,19850,2000,Half Buy,Eco,10,5,False
CTWin,23150,21400,Full Buy,Full Buy,11,5,False
TWin,29050,8950,Full Buy,Force Buy,11,6,True
TWin,27100,24050,Full Buy,Full Buy,11,7,True
CTWin,9850,27550,Force Buy,Full Buy,12,7,False
CTWin,7100,24500,Force Buy,Full Buy,13,7,False
CTWin,0,0,Eco,Eco,0,0,False
,0,0,,,0,0,False
TWin,3250,3250,Eco,Eco,0,1,True
CTWin,4250,3650,Eco,Eco,1,1,False
BombDefused,10700,20250,Half Buy,Full Buy,2,1,True
TWin,24350,8250,Full Buy,Force Buy,2,2,True
TargetBombed,26150,7000,Full Buy,Force Buy,2,3,True
TargetBombed,18800,24700,Half Buy,Full Buy,2,4,True
CTWin,16250,25500,Half Buy,Full Buy,3,4,False
BombDefused,25200,25400,Full Buy,Full Buy,4,4,True
BombDefused,27750,25650,Full Buy,Full Buy,5,4,True
CTWin,29350,2850,Full Buy,Eco,6,4,False
TWin,30350,22800,Full Buy,Full Buy,6,5,True
TWin,29950,10800,Full Buy,Half Buy,6,6,True
CTWin,25350,24250,Full Buy,Full Buy,7,6,False
CTWin,4250,4550,Eco,Eco,8,6,False
BombDefused,20500,1500,Full Buy,Eco,9,6,True
BombDefused,23000,17350,Full Buy,Half Buy,10,6,True
CTWin,28200,16900,Full Buy,Half Buy,11,6,False
CTWin,29250,24300,Full Buy,Full Buy,12,6,False
CTWin,28650,20700,Full Buy,Full Buy,13,6,False
TWin,0,0,Eco,Eco,0,0,False
,3250,2600,Eco,Eco,0,0,False
BombDefused,1000,1000,Eco,Eco,1,0,True
CTWin,4250,4350,Eco,Eco,2,0,False
CTWin,21600,14250,Full Buy,Half Buy,3,0,False
BombDefused,25650,2000,Full Buy,Eco,4,0,True
CTWin,27400,24700,Full Buy,Full Buy,5,0,False
BombDefused,29250,22400,Full Buy,Full Buy,6,0,True
TargetBombed,29750,10750,Full Buy,Half Buy,6,1,True
CTWin,30000,25100,Full Buy,Full Buy,7,1,False
CTWin,28500,26550,Full Buy,Full Buy,8,1,False
CTWin,28600,22350,Full Buy,Full Buy,9,1,False
CTWin,28200,21900,Full Buy,Full Buy,10,1,False
CTWin,27800,18150,Full Buy,Half Buy,1,11,False
TWin,21300,25400,Full Buy,Full Buy,1,12,True
CTWin,4000,4350,Eco,Eco,2,12,False
CTWin,11350,16350,Half Buy,Half Buy,3,12,False
BombDefused,25500,7700,Full Buy,Force Buy,4,12,True
BombDefused,26200,1000,Full Buy,Eco,5,12,True
BombDefused,30000,25000,Full Buy,Full Buy,6,12,True
CTWin,30550,10850,Full Buy,Half Buy,7,12,False
BombDefused,30950,26750,Full Buy,Full Buy,8,12,True
CTWin,30650,21100,Full Buy,Full Buy,9,12,False
CTWin,30650,21400,Full Buy,Full Buy,10,12,False
CTWin,30950,6750,Full Buy,Force Buy,11,12,False
TWin,32750,25000,Full Buy,Full Buy,11,13,True
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,2700,1000,Eco,Eco,1,0,False
CTWin,4700,5150,Eco,Force Buy,2,0,False
BombDefused,21100,1500,Full Buy,Eco,3,0,True
CTWin,26650,18950,Full Buy,Half Buy,4,0,False
CTWin,27850,19400,Full Buy,Half Buy,5,0,False
CTWin,28600,5050,Full Buy,Force Buy,6,0,False
CTWin,29850,26450,Full Buy,Full Buy,7,0,False
CTWin,29850,21300,Full Buy,Full Buy,8,0,False
TWin,29550,6200,Full Buy,Force Buy,8,1,True
CTWin,30550,23350,Full Buy,Full Buy,9,1,False
CTWin,25450,24100,Full Buy,Full Buy,10,1,False
TWin,24200,17500,Full Buy,Half Buy,2,10,False
TWin,18700,28800,Half Buy,Full Buy,2,11,True
TWin,4250,4650,Eco,Eco,2,12,True
TWin,3400,15200,Eco,Half Buy,2,13,True
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
BombDefused,5900,5750,Force Buy,Force Buy,1,0,True
CTWin,3800,4350,Eco,Eco,2,0,False
BombDefused,20350,13300,Full Buy,Half Buy,3,0,True
CTWin,25400,2850,Full Buy,Eco,4,0,False
BombDefused,24600,25300,Full Buy,Full Buy,5,0,True
TWin,27200,23400,Full Buy,Full Buy,5,1,False
BombDefused,28400,24250,Full Buy,Full Buy,6,1,True
TargetBombed,28900,27050,Full Buy,Full Buy,6,2,True
TargetBombed,25650,23900,Full Buy,Full Buy,6,3,True
TargetBombed,25200,27350,Full Buy,Full Buy,6,4,True
TargetBombed,8450,27150,Force Buy,Full Buy,6,5,True
TWin,29300,27250,Full Buy,Full Buy,6,6,True
BombDefused,28550,24450,Full Buy,Full Buy,7,6,True
CTWin,4050,4200,Eco,Eco,8,6,False
CTWin,21900,2500,Full Buy,Eco,9,6,False
BombDefused,27450,23100,Full Buy,Full Buy,10,6,True
TWin,24550,7700,Full Buy,Force Buy,10,7,False
CTWin,26350,25900,Full Buy,Full Buy,11,6,False
TWin,25900,25800,Full Buy,Full Buy,11,7,True
CTWin,29250,23300,Full Buy,Full Buy,12,7,False
CTWin,18650,22900,Half Buy,Full Buy,13,7,False
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,1000,6900,Eco,Force Buy,1,0,False
CTWin,3950,5050,Eco,Force Buy,2,0,False
BombDefused,17850,1000,Half Buy,Eco,3,0,True
CTWin,25600,24300,Full Buy,Full Buy,4,0,False
BombDefused,29050,10250,Full Buy,Half Buy,5,0,True
BombDefused,28100,26750,Full Buy,Full Buy,6,0,True
TargetSaved,27250,21700,Full Buy,Full Buy,7,0,False
CTWin,29750,22800,Full Buy,Full Buy,8,0,False
TargetBombed,30350,13100,Full Buy,Half Buy,8,1,True
CTWin,31050,22300,Full Buy,Full Buy,9,1,False
TWin,29950,27250,Full Buy,Full Buy,9,2,True
CTWin,30550,24400,Full Buy,Full Buy,2,10,False
BombDefused,28050,30350,Full Buy,Full Buy,3,10,True
TWin,4250,5250,Eco,Force Buy,3,11,True
TargetBombed,20750,14950,Full Buy,Half Buy,3,12,True
CTWin,8450,18250,Force Buy,Half Buy,4,12,False
CTWin,21000,23300,Full Buy,Full Buy,5,12,False
CTWin,28600,8850,Full Buy,Force Buy,6,12,False
CTWin,29000,1000,Full Buy,Eco,7,12,False
CTWin,31250,22400,Full Buy,Full Buy,8,12,False
TWin,30850,5400,Full Buy,Force Buy,8,13,False
CTWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
CTWin,1000,1000,Eco,Eco,1,0,False
BombDefused,3350,4650,Eco,Eco,2,0,True
CTWin,19200,9200,Half Buy,Force Buy,3,0,False
TargetBombed,24550,6850,Full Buy,Force Buy,3,1,True
TargetBombed,29350,25200,Full Buy,Full Buy,3,2,True
TWin,27950,24200,Full Buy,Full Buy,3,3,True
CTWin,7050,25600,Force Buy,Full Buy,4,3,False
TargetBombed,23600,25500,Full Buy,Full Buy,4,4,True
TWin,27450,22400,Full Buy,Full Buy,4,5,True
TargetBombed,9350,21550,Force Buy,Full Buy,4,6,True
TWin,25350,25800,Full Buy,Full Buy,4,7,True
TWin,14950,25400,Half Buy,Full Buy,8,4,False
CTWin,25900,26150,Full Buy,Full Buy,9,4,False
CTWin,3950,4200,Eco,Eco,10,4,False
CTWin,19400,10700,Half Buy,Half Buy,11,4,False
TargetBombed,21500,4300,Full Buy,Eco,11,5,True
CTWin,24250,23750,Full Buy,Full Buy,12,5,False
CTWin,29450,25200,Full Buy,Full Buy,13,5,False
TWin,0,0,Eco,Eco,0,0,False
,3250,3250,Eco,Eco,0,0,False
TWin,4700,1000,Eco,Eco,0,1,True
TargetBombed,4150,4650,Eco,Eco,0,2,True
TWin,1000,19100,Eco,Half Buy,0,3,True
TargetBombed,24500,22400,Full Buy,Full Buy,0,4,True
TWin,8600,27450,Force Buy,Full Buy,0,5,True
TargetBombed,28650,27350,Full Buy,Full Buy,0,6,True
TWin,25000,27350,Full Buy,Full Buy,0,7,True
TargetBombed,12600,26750,Half Buy,Full Buy,0,8,True
CTWin,27800,27250,Full Buy,Full Buy,1,8,False
CTWin,27800,29400,Full Buy,Full Buy,2,8,False
CTWin,28650,27050,Full Buy,Full Buy,3,8,False
TWin,29850,1300,Full Buy,Eco,9,3,True
CTWin,25150,31850,Full Buy,Full Buy,10,3,False
CTWin,4200,4350,Eco,Eco,11,3,False
BombDefused,20250,1500,Full Buy,Eco,12,3,True
TargetBombed,22400,23500,Full Buy,Full Buy,12,4,True
TargetBombed,28850,19850,Full Buy,Half Buy,12,5,True
TargetBombed,14100,27750,Half Buy,Full Buy,12,6,True
TargetBombed,11750,27450,Half Buy,Full Buy,12,7,True
CTWin,16000,27450,Half Buy,Full Buy,13,7,False
CTWin,0,0,Eco,Eco,0,0,False
,0,0,,,0,0,False
BombDefused,3250,3250,Eco,Eco,1,0,True
TWin,4250,4750,Eco,Eco,1,1,True
TargetBombed,20100,13350,Full Buy,Half Buy,1,2,True
TWin,8100,20950,Force Buy,Full Buy,1,3,True
TargetBombed,5000,24400,Force Buy,Full Buy,1,4,True
TWin,24500,25800,Full Buy,Full Buy,1,5,True
CTWin,27000,25800,Full Buy,Full Buy,2,5,False
CTWin,23200,24150,Full Buy,Full Buy,3,5,False
CTWin,27800,25550,Full Buy,Full Buy,4,5,False
TWin,29850,2450,Full Buy,Eco,4,6,True
TWin,29850,24200,Full Buy,Full Buy,4,7,True
CTWin,28800,23550,Full Buy,Full Buy,7,5,False
CTWin,26000,22000,Full Buy,Full Buy,8,5,False
CTWin,3850,4300,Eco,Eco,9,5,False
CTWin,20650,1500,Full Buy,Eco,10,5,False
BombDefused,24250,22100,Full Buy,Full Buy,11,5,True
